"providerName","providerType","modelId","displayName","productCategory","billingType","prices","modelTpm","modelRpm","description","sortOrder","experienceEnabled","routeId","tenantIds","r_modelTpm","r_modelRpm","r_tenants","r_routeId"
"dt_provider_up_pos_11","openai","price-maxlimit","pos-price-maxlimit","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":999999.999,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","price maxlimit","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_12","openrouter","price-min","pos-price-min","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.000001,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","price min","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_13","xai","unit-1k","pos-unit-1k","standard","token","[{""tokenPriceUnit"":""per_thousand"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","unit 1k","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_14","xiaomi_mimo","usage-1","pos-usage-1","standard","usage","[{""tokenPriceUnit"":""per_thousand"",""unitPrice"":1.000,""inputPrice"":null,""outputPrice"":null,""cacheWritePrice"":null,""cacheReadPrice"":null}]","null","null","usage 1","1","disabled","null","[]","0","0","[]","null"
"dt_provider_up_pos_15","zai","usage-max","pos-usage-max","standard","usage","[{""tokenPriceUnit"":""per_thousand"",""unitPrice"":999999,""inputPrice"":null,""outputPrice"":null,""cacheWritePrice"":null,""cacheReadPrice"":null}]","null","null","usage max","1","disabled","null","[]","0","0","[]","null"
"dt_provider_up_pos_16","anthropic","auto-route","pos-auto-route","auto","token","[{""complexityLevel"":""simple"",""tokenPriceUnit"":""per_million"",""inputPrice"":1.000,""outputPrice"":1.000,""cacheWritePrice"":1.000,""cacheReadPrice"":1.000,""unitPrice"":null},{""complexityLevel"":""medium"",""tokenPriceUnit"":""per_million"",""inputPrice"":1.000,""outputPrice"":1.000,""cacheWritePrice"":1.000,""cacheReadPrice"":1.000,""unitPrice"":null}]","null","null","auto test","1","disabled","1000000000000000002","[]","0","0","[]","""1000000000000000002"""
"dt_provider_up_pos_17","chatgpt","tenant-auth","pos-tenant-auth","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","tenant auth","1","disabled","null","[""1000000000000000003""]","10","10","[""1000000000000000003""]","null"
"dt_provider_up_pos_18","cursor","tenant-unauth","pos-tenant-unauth","standard","usage","[{""tokenPriceUnit"":""per_thousand"",""unitPrice"":1.000,""inputPrice"":null,""outputPrice"":null,""cacheWritePrice"":null,""cacheReadPrice"":null}]","null","null","tenant unauth","1","enabled","null","[""1000000000000000003""]","0","0","[""1000000000000000003""]","null"
"pp00","anthropic","pp_mid0","pp_dn0","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.001,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"pp01","chatgpt","pp_mid1","pp_dn1","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":999999,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"pp02","cursor","pp_mid2","pp_dn2","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.001,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"pp03","dashscope","pp_mid3","pp_dn3","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":999999,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"pp04","deepseek","pp_mid4","pp_dn4","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.001,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"pp05","gemini","pp_mid5","pp_dn5","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":999999,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"pp06","groq","pp_mid6","pp_dn6","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.000001,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"pp07","minimax","pp_mid7","pp_dn7","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":100,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"pp08","moonshot","pp_mid8","pp_dn8","standard","usage","[{""tokenPriceUnit"":""per_thousand"",""unitPrice"":0.001,""inputPrice"":null,""outputPrice"":null,""cacheWritePrice"":null,""cacheReadPrice"":null}]","","","test desc","1","disabled","","[]","0","0","[]","null"
"pp09","ollama","pp_mid9","pp_dn9","standard","usage","[{""tokenPriceUnit"":""per_thousand"",""unitPrice"":999999,""inputPrice"":null,""outputPrice"":null,""cacheWritePrice"":null,""cacheReadPrice"":null}]","","","test desc","1","disabled","","[]","0","0","[]","null"
"pp10","openai","pp_mid10","pp_dn10","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","1","1","test desc","1","disabled","","[]","1","1","[]","null"
"pp11","openrouter","pp_mid11","pp_dn11","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","50000000","50000000","test desc","1","disabled","","[]","50000000","50000000","[]","null"
"pp12","xai","pp_mid12","pp_dn12","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","99999999","99999999","test desc","1","disabled","","[]","99999999","99999999","[]","null"
"pp13","xiaomi_mimo","pp_mid13","pp_dn13","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","0","disabled","","[]","10","10","[]","null"
"pp14","zai","pp_mid14","pp_dn14","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","99999","disabled","","[]","10","10","[]","null"
"pp15","anthropic","pp_mid15","pp_dn15","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","x","1","disabled","","[]","10","10","[]","null"
"pp16","chatgpt","pp_mid16","pp_dn16","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","Normal description text","1","disabled","","[]","10","10","[]","null"
"pp17","cursor","pp_mid17","pp_dn17","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd","1","disabled","","[]","10","10","[]","null"
"pp18","dashscope","pp_mid18","pp_dn18","auto","token","[{""complexityLevel"":""simple"",""tokenPriceUnit"":""per_million"",""inputPrice"":1,""outputPrice"":1,""cacheWritePrice"":1,""cacheReadPrice"":1,""unitPrice"":null}]","","","test desc","1","disabled","1000000000000000002","[]","0","0","[]","""1000000000000000002"""
"pp19","deepseek","pp_mid19","pp_dn19","auto","token","[{""complexityLevel"":""medium"",""tokenPriceUnit"":""per_million"",""inputPrice"":1,""outputPrice"":1,""cacheWritePrice"":1,""cacheReadPrice"":1,""unitPrice"":null}]","","","test desc","1","disabled","1000000000000000002","[]","0","0","[]","""1000000000000000002"""
"pp20","gemini","pp_mid20","pp_dn20","auto","token","[{""complexityLevel"":""hard"",""tokenPriceUnit"":""per_million"",""inputPrice"":1,""outputPrice"":1,""cacheWritePrice"":1,""cacheReadPrice"":1,""unitPrice"":null}]","","","test desc","1","disabled","1000000000000000002","[]","0","0","[]","""1000000000000000002"""
"pp21","groq","pp_mid21","pp_dn21","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[""1000000000000000003""]","10","10","[""1000000000000000003""]","null"
"pp22","minimax","pp_mid22","pp_dn22","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","描述-中文测试","1","disabled","","[]","10","10","[]","null"
"len_mid_200","openrouter","mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm","dnp200","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"len_mid_201","openrouter","mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm","dnp201","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"len_dn_200","openrouter","midp200","dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"len_dn_201","openrouter","midp201","ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","","[]","10","10","[]","null"
"dt_prov_fill_201_pos_03","dashscope","fp_mid_pos_201_3","fp_dn_pos_201_3","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","test desc","1","disabled","rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr","[]","10","10","[]","null"
